"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02402","Boelhouwer","A.J.W.","Arie Jan Willem","Jan","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn98zj"
"02402","Boelhouwer","A.J.W.","Arie Jan Willem","Jan","","m","PvdA","2e kamerlid","","","","2008-01-15","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn98zj"
"02403","Leerdam","J.A.W.J.","John Arnold Walther Julius","John","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn8wzi"
"02403","Leerdam","J.A.W.J.","John Arnold Walther Julius","John","","m","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn8wzi"
"02403","Leerdam","J.A.W.J.","John Arnold Walther Julius","John","","m","PvdA","2e kamerlid","","","","2012-02-29","2012-04-04","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn8wzi"
"02404","Eijsink","A.M.C.","Angeline Maria Catharina","Angelien","","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnb9zp"
"02404","Eijsink","A.M.C.","Angeline Maria Catharina","Angelien","","v","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnb9zp"
"02404","Eijsink","A.M.C.","Angeline Maria Catharina","Angelien","","v","PvdA","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnb9zp"
"02404","Eijsink","A.M.C.","Angeline Maria Catharina","Angelien","","v","PvdA","2e kamerlid","","","","2012-09-20","","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnb9zp"
"02405","Kruijsen","J.H.J.","Joanne Hélène Josephine","Joanneke","","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnavzo"
"02406","Straub","P.A.J.","Pieter Adrianus Johannes","Piet","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnaizn"
"02407","Dubbelboer","J.N.","Johan Niesco","Niesco","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpna4zm"
"02408","Blom","L.","","Luuk","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpncfzr"
