"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","2e kamerlid","","","","1998-05-19","1998-08-17","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Buitenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Viceminister-president","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"01298","Steenkamp","P.A.J.M.","Petrus Antonius Josephus Maria","Piet","","m","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll9ar8zy"
"01363","Thijn","E.","Eduard","Ed","van","m","PvdA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llanquyh"
"01363","Thijn","E.","Eduard","Ed","van","m","PvdA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09llanquyh"
"01542","Wiegel","H.","Hans","Hans","","m","VVD","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llcz55yq"
"01542","Wiegel","H.","Hans","Hans","","m","VVD","1e kamerlid","","","","1999-06-08","2000-03-31","http://www.parlementairdocumentatiecentrum.nl/id/vg09llcz55yq"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Viceminister-president","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Volksgezondheid, Welzijn en Sport","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Volksgezondheid, Welzijn en Sport","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01620","Schmitz","E.M.A.","Elizabeth Maria Alida","Elizabeth","","v","PvdA","staatssecretaris","","Justitie","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldrwxzn"
"01622","Sorgdrager","W.","Winnifred","Winnie","","v","D66","1e kamerlid","","","","1999-06-08","1999-09-30","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldt2wzp"
"01622","Sorgdrager","W.","Winnifred","Winnie","","v","D66","minister","","Justitie","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldt2wzp"
"01628","Vondervoort","A.G.M.","Antonia Geertruida Maria","Tonny","van de","v","PvdA","staatssecretaris","","Binnenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldv7wzv"
"01629","Wijers","G.J.","Gerardus Johannes","Hans","","m","D66","minister","","Economische Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzw"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","fractievoorzitter","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","fractievoorzitter","","","2003-01-30","2003-05-26","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Economische Zaken","tweede kabinet-Balkenende","2006-07-03","2006-07-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Financiën","derde kabinet-Balkenende","2006-07-07","2007-02-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Financiën","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Financiën","tweede kabinet-Balkenende","2003-05-27","2006-07-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Financiën","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Viceminister-president","derde kabinet-Balkenende","2006-07-07","2007-02-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Viceminister-president","tweede kabinet-Balkenende","2003-05-27","2006-07-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01634","Pater-van der Meer","M.L.","Maartje Lena","Marleen","de","v","CDA","2e kamerlid","","","","2001-02-06","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldybv5t"
"01634","Pater-van der Meer","M.L.","Maartje Lena","Marleen","de","v","CDA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldybv5t"
"01634","Pater-van der Meer","M.L.","Maartje Lena","Marleen","de","v","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldybv5t"
"01634","Pater-van der Meer","M.L.","Maartje Lena","Marleen","de","v","CDA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldybv5t"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","","","","2001-03-13","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","","","","2002-11-19","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","fractievoorzitter","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","fractievoorzitter","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","ChristenUnie","2e kamerlid","fractievoorzitter","","","2012-09-20","2015-12-01","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01639","Slob","A.","Arie","Arie","","m","GPV","2e kamerlid","","","","2001-02-14","2001-03-12","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle0guti"
"01647","Beer","L.M.","Leopold Michiel","Pol","de","m","VVD","1e kamerlid","","","","1995-09-05","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle4qtwc"
"01647","Beer","L.M.","Leopold Michiel","Pol","de","m","VVD","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09lle4qtwc"
"01657","Dees","D.J.D.","Dirk Jan Dignus","Dick","","m","VVD","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llea6rzu"
"01657","Dees","D.J.D.","Dirk Jan Dignus","Dick","","m","VVD","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llea6rzu"
"01657","Dees","D.J.D.","Dirk Jan Dignus","Dick","","m","VVD","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09llea6rzu"
"01714","Scholten","J.N.","Jan Nico","Jan Nico","","m","PvdA","1e kamerlid","","","","1998-03-31","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfbigy8"
"01718","Stoffelen","P.R.","Pieter Reinhard","Piet","","m","PvdA","1e kamerlid","","","","1996-09-03","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfgrfyh"
"01719","Terlouw","J.C.","Jan Cornelis","Jan","","m","D66","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfiweyi"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","1e kamerlid","","","","2007-06-12","2011-06-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","1e kamerlid","","","","2011-06-07","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","minister","","Binnenlandse Zaken en Koninkrijksrelaties","tweede kabinet-Kok","2000-03-24","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","minister","","Landbouw, Natuurbeheer en Visserij","tweede kabinet-Kok","1999-06-07","1999-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01724","Vries","K.G.","Klaas George","Klaas","de","m","PvdA","minister","","Sociale Zaken en Werkgelegenheid","tweede kabinet-Kok","1998-08-03","2000-03-23","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfn6dyn"
"01735","Pronk","J.P.","Johannes Pieter","Jan","","m","PvdA","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfvqayy"
"01735","Pronk","J.P.","Johannes Pieter","Jan","","m","PvdA","minister","","Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfvqayy"
"01735","Pronk","J.P.","Johannes Pieter","Jan","","m","PvdA","minister","","minister voor Ontwikkelingssamenwerking","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llfvqayy"
"01738","Brinkhorst","L.J.","Laurens Jan","Laurens Jan","","m","D66","minister","","Economische Zaken","tweede kabinet-Balkenende","2003-05-27","2006-07-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llg009z1"
"01738","Brinkhorst","L.J.","Laurens Jan","Laurens Jan","","m","D66","minister","","Landbouw, Natuurbeheer en Visserij","tweede kabinet-Kok","1999-06-08","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09llg009z1"
"01738","Brinkhorst","L.J.","Laurens Jan","Laurens Jan","","m","D66","minister","","Viceminister-president","tweede kabinet-Balkenende","2005-03-31","2006-07-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llg009z1"
"01740","Glastra van Loon","J.F.","Jan Frederik","Jan","","m","D66","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llg258zi"
"01756","Rooijen","M.J.","Martinus Johannes","Martin","van","m","50PLUS","1e kamerlid","","","","2015-06-09","","http://www.parlementairdocumentatiecentrum.nl/id/vg09llgfy4zy"
"01797","Beinema","M.","Marten","Marten","","m","CDA","2e kamerlid","","","","1994-05-17","1998-05-18","http://www.parlementairdocumentatiecentrum.nl/id/vg09llgx1ztw"
"01809","Aartsen","J.J.","Jozias Johannes","Jozias","van","m","VVD","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llh4mxwv"
"01809","Aartsen","J.J.","Jozias Johannes","Jozias","van","m","VVD","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09llh4mxwv"
"01809","Aartsen","J.J.","Jozias Johannes","Jozias","van","m","VVD","2e kamerlid","fractievoorzitter","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09llh4mxwv"
"01809","Aartsen","J.J.","Jozias Johannes","Jozias","van","m","VVD","minister","","Buitenlandse Zaken","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09llh4mxwv"
"01809","Aartsen","J.J.","Jozias Johannes","Jozias","van","m","VVD","minister","","Landbouw, Natuurbeheer en Visserij","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llh4mxwv"
"01841","Dok-van Weele","A.","Anneke","Anneke","van","v","PvdA","2e kamerlid","","","","1998-05-26","1999-05-31","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhc0vxr"
"01841","Dok-van Weele","A.","Anneke","Anneke","van","v","PvdA","staatssecretaris","","Economische Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhc0vxr"
"01842","Swart","A.H.","Antonie Hendrik","Ton","de","m","VVD","2e kamerlid","","","","2000-05-09","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhd6uxs"
"01845","Bolhuis","E.E.","Eduard Eppo","Eppo","","m","PvdA","2e kamerlid","","","","2001-01-16","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhe5uxv"
"01849","Boer","M.","Margaretha","Margreeth","de","v","PvdA","2e kamerlid","","","","1998-05-19","2001-11-05","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhjlsxz"
"01849","Boer","M.","Margaretha","Margreeth","de","v","PvdA","minister","","Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhjlsxz"
"01885","Braks","G.J.M.","Gerardus Johannes Maria","Gerrit","","m","","voorzitter Eerste Kamer der Staten-Generaal","","","","2001-10-02","2003-06-10","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhykoyz"
"01885","Braks","G.J.M.","Gerardus Johannes Maria","Gerrit","","m","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhykoyz"
"01885","Braks","G.J.M.","Gerardus Johannes Maria","Gerrit","","m","CDA","1e kamerlid","fractievoorzitter","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhykoyz"
"01886","Castricum","F.W.C.","Fredericus Wilhelmus Cornelis","Frits","","m","PvdA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhykoz0"
"01887","Dijk","C.P.","Cornelis Pieter","Kees","van","m","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llhzjoz1"
"01889","Eekelen","W.F.","Willem Frederik","Wim","van","m","VVD","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli0pnz3"
"01889","Eekelen","W.F.","Willem Frederik","Wim","van","m","VVD","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli0pnz3"
"01891","Eversdijk","H.","Hubrecht","Huib","","m","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli0pnz5"
"01891","Eversdijk","H.","Hubrecht","Huib","","m","CDA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli0pnz5"
"01894","Hermans","L.M.L.H.A.","Louis Marie Lucien Henri Alphonse","Loek","","m","VVD","1e kamerlid","fractievoorzitter","","","2007-06-12","2011-06-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unz8"
"01894","Hermans","L.M.L.H.A.","Louis Marie Lucien Henri Alphonse","Loek","","m","VVD","1e kamerlid","fractievoorzitter","","","2011-06-07","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unz8"
"01894","Hermans","L.M.L.H.A.","Louis Marie Lucien Henri Alphonse","Loek","","m","VVD","1e kamerlid","fractievoorzitter","","","2015-06-09","2015-11-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unz8"
"01894","Hermans","L.M.L.H.A.","Louis Marie Lucien Henri Alphonse","Loek","","m","VVD","2e kamerlid","","","","2002-05-23","2002-07-24","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unz8"
"01894","Hermans","L.M.L.H.A.","Louis Marie Lucien Henri Alphonse","Loek","","m","VVD","minister","","Onderwijs, Cultuur en Wetenschap(pen)","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unz8"
"01897","Lansink","A.G.W.J.","Adrianus Gerhardus Wilhelmus Josephus","Ad","","m","CDA","2e kamerlid","","","","1994-05-17","1998-05-18","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli2unzb"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","","voorzitter Eerste Kamer der Staten-Generaal","","","","2009-10-06","2011-06-28","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","CDA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","CDA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","CDA","1e kamerlid","","","","2007-06-12","2011-06-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","CDA","1e kamerlid","","","","2011-06-07","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01899","Linden","P.R.H.M.","Pierre René Hubert Marie","René","van der","m","CDA","2e kamerlid","","","","1994-05-17","1998-05-18","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli3tmzd"
"01906","Terpstra","E.G.","Erica Georgina","Erica","","v","VVD","2e kamerlid","","","","1998-05-19","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli5ymzk"
"01906","Terpstra","E.G.","Erica Georgina","Erica","","v","VVD","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli5ymzk"
"01906","Terpstra","E.G.","Erica Georgina","Erica","","v","VVD","2e kamerlid","","","","2003-01-30","2003-12-14","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli5ymzk"
"01906","Terpstra","E.G.","Erica Georgina","Erica","","v","VVD","staatssecretaris","","Volksgezondheid, Welzijn en Sport","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli5ymzk"
"01907","Tuinstra","E.K.","Elida Katherina","Elida","","v","D66","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli5ymzl"
"01908","Wöltgens","M.A.M.","Mathias Andreas Marie","Thijs","","m","PvdA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli74lzm"
"01908","Wöltgens","M.A.M.","Mathias Andreas Marie","Thijs","","m","PvdA","1e kamerlid","","","","1999-06-08","2002-01-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09lli74lzm"
"01918","Heijne Makkreel","H.","Hendrik","Henk","","m","VVD","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llia8kzw"
"01931","Nagel","J.G.","Johan George","Jan","","m","50PLUS","1e kamerlid","","","","2011-06-07","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg09llicdkc5"
"01931","Nagel","J.G.","Johan George","Jan","","m","50PLUS","1e kamerlid","","","","2015-06-09","","http://www.parlementairdocumentatiecentrum.nl/id/vg09llicdkc5"
"01945","Ginjaar","L.","Leendert","Leendert","","m","VVD","1e kamerlid","fractievoorzitter","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llifhjpd"
"01945","Ginjaar","L.","Leendert","Leendert","","m","VVD","1e kamerlid","fractievoorzitter","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llifhjpd"
"01965","Patijn","M.","Michiel","Michiel","","m","VVD","2e kamerlid","","","","1998-05-19","2001-03-31","http://www.parlementairdocumentatiecentrum.nl/id/vg09llijrise"
"01965","Patijn","M.","Michiel","Michiel","","m","VVD","staatssecretaris","","Buitenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llijrise"
"01979","Gmelich Meijling","J.Ch.","Jan Christoffel","Jan","","m","VVD","staatssecretaris","","Defensie","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09llilwht1"
"01992","Jurgens","E.C.M.","Erik Constant Maria","Erik","","m","PvdA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llip7gvr"
"01992","Jurgens","E.C.M.","Erik Constant Maria","Erik","","m","PvdA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llip7gvr"
"01992","Jurgens","E.C.M.","Erik Constant Maria","Erik","","m","PvdA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09llip7gvr"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2000-03-28","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2002-11-20","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","2e kamerlid","","","","2012-09-20","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02200","Dijsselbloem","J.R.V.A.","Jeroen René Victor Anton","Jeroen","","m","PvdA","minister","","Financiën","tweede kabinet-Rutte","2012-11-05","","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljnf6yy"
"02201","Akker","J.L.","Johannes Leonardus","Hans","van den","m","CDA","2e kamerlid","","","","1998-05-19","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6yz"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","1998-05-19","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2006-11-30","2007-02-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2010-05-12","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2010-06-17","2011-04-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","2e kamerlid","","","","2011-08-02","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02202","Albayrak","N.","Nebahat","Nebahat","","v","PvdA","staatssecretaris","","Justitie","vierde kabinet-Balkenende","2007-02-22","2010-02-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljoe6z0"
"02203","Arib","K.","Khadija","Khadija","","v","","voorzitter Tweede Kamer der Staten-Generaal","","","","2016-01-13","","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljpk5z1"
"02203","Arib","K.","Khadija","Khadija","","v","PvdA","2e kamerlid","","","","1998-05-19","2002-05-22","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljpk5z1"
"02203","Arib","K.","Khadija","Khadija","","v","PvdA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljpk5z1"
"02203","Arib","K.","Khadija","Khadija","","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lljpk5z1"
