Label	Type	Id
Centrale Commissie voor de Statistiek	Org	395
Begrotingsruimte	Org	396
WRR Wetenschappelijke Raad voor het Regeringsbeleid	Org	397
Westfries Gasthuis te Hoorn	Org	398
2002	Org	399
Permira  privaat equityfonds	Org	400
NDT Nederlands Dans Theater	Org	401
ële kinderbescherming observatiegroep 	Org	402
LMHNO lager en middelbaar huishoud en nijverheidsonderwijs te Vlaardingen	Org	403
Opleidingsinstituut kraamzorg te Barchem Gld	Org	404
Gemeenteraad van Zutphen	Org	405
Stichting Kerk en Wereld te Driebergen	Org	406
Burgemeester van Muiden	Org	407
RBA Regionaal voor de Arbeidsvoorziening Midden IJssel	Org	408
IMK Instituut voor het Midden en Kleinbedrijf Gelderland	Org	409
Tafel Tien 	Org	410
B en A groep	Org	411
Stichting Perspectief dienstverleningscentrum voor onderwijs te Apeldoorn	Org	412
FOC Forensisch orthopedagogisch centrum  de Kolkemate te Zutphen	Org	413
Woningstichting Brummen	Org	414
Justitieel Pedagogisch Centrum De Sprengen te Zutphen Wapenveld	Org	415
De Dreef 	Org	416
Comité van Aanbeveling Stichting Wereldkinderen	Org	417
Greijdanus College te Zwolle	Org	418
Gereformeerde Scholengemeenschap Guido de Brés te Amersfoort	Org	419
ördinator in het voortgezet onderwijs	Org	420
GPC Gereformeerd Pedagogisch Centrum te Zwolle	Org	421
Gemeenteraad van Zwolle	Org	422
administratiekantoor Concent te Zwolle	Org	423
HCO Historisch Centrum Overijssel en de Stichting IJsselacademie	Org	424
GPJC afdeling Capelle aan den IJssel	Org	425
GPV kiesvereniging Zwolle	Org	426
GPV Gemeenteraad van Zwolle	Org	427
GPV	Party	428
Stichting collectie Zwolle 1940 1945	Org	429
Amersfoort Christelijke Stichting Hulp aan Gewetensvervolgden	Org	430
Jongerenjaar 1985	Org	431
Patiëntenplatform Zwolle e o	Org	432
Zwolle slaat terug	Org	433
Certificeringscommissie Edventure	Org	434
Collectie Zwolle 1940 1945	Org	435
Zorgcombinatie Zwolle	Org	436
Gave werk onder vluchtelingen	Org	437
SEF Sociaal Economisch Forum	Org	438
Gereformeerde Kerken Vrijgemaakt	Org	439
Comité van Aanbeveling Stichting Ora zending en hulpverlening te Nieuwleusen	Org	440
Comité van Aanbeveling Stichting Dubbelklik woonvorm voor mensen met verstandelijke en meervoudige handicap te Zwolle	Org	441
Comité van Aanbeveling Happietaria Zwolle	Org	442
Comité van Aanbeveling HollandKoor	Org	443
Comité van Aanbeveling Stichting Wereldtijdpad	Org	444
Comité van Aanbeveling Stichting Evangelisch Onderwijs Eindhoven	Org	445
Comité van Aanbeveling Stichting Canzibe	Org	446
Comité van Aanbeveling Talma project	Org	447
Comité van Aanbeveling Bond tegen het vloeken	Org	448
Comité van Aanbeveling GIDSnetwerk	Org	449
Comité van Aanbeveling ikzoekchristelijkehulp nl	Org	450
Comité van Aanbeveling Stichting Vrienden van Amcha in Nederland	Org	451
Stichting De Herberg te Zwolle	Org	452
Stichting Ratiobouw Bouwcentrum te Rotterdam	Org	453
Nederlandse Bouw Compagnie	Org	454
Gemeenteraad van Utrecht	Org	455
hoofd planbureau Medische Faculteit	Org	456
Gemeenteraad van Vlaardingen	Org	457
Sijthoffpers	Org	458
Liberale Omroep	Org	459
Verkomij te Ressen Gld	Org	460
Pharos Itsa B V te s Gravenhage	Org	461
VUGA	Org	462
Nijssen Bouw B V te Rosmalen	Org	463
Havencommissie	Org	464
Raadgevende Vergadering van de Raad van Europa en West Europese Unie	Org	465
VEH Vereniging Eigen Huis	Org	466
RDW Rijksdienst voor het Wegverkeer	Org	467
Arbo Platform Nederland	Org	468
Holy	Org	469
Vereniging Eigen Huis	Org	470
Gemeenteraad van Breda	Org	471
Kapittelheren van de Grote of Onze Lieve Vrouwe Kerk te Breda	Org	472
Politiek Jongeren Contact te Breda	Org	473
Landelijk College van studiecommissie en studieverenigingen	Org	474
Onderwijs	Org	475
ANP	Org	476
R K Hockey en Sportvereniging Push te Breda	Org	477
Gewestraad	Org	478
De Stem	Org	479
Stichting Sporthal Push	Org	480
Push Sportcentrum	Org	481
De Heerbaan	Org	482
Stichting Regionale Omroep West Brabant	Org	483
Stichting Aids Fonds	Org	484
Hersenstichting Nederland	Org	485
Comité Hersenwerk 2002	Org	486
OZ	Org	487
Praeventiefonds	Org	488
Orthocenter	Org	489
OZ Zorgverzekeringen OWM	Org	490
College van Advies Mazars	Org	491
Nationale Sportstichting Top Support	Org	492
COTG Centraal Orgaan Tarieven Gezondheidszorg	Org	493
Centraal Begeleidingsorgaan voor de Intercollegiale Toetsing	Org	494
Academisch Ziekenhuis Rotterdam	Org	495
Benelux Universitair Centrum	Org	496
Classic FM Foundation	Org	497
Grotestedenbeleid	Org	498
ZorgOnderzoek Nederland	Org	499
Stichting Doping Controle Nederland	Org	500
Commissie Doelmatigheidsonderzoek NWO Medische Wetenschappen	Org	501
Forum Biotechnologie en Genetica	Org	502
ARBO Platform Nederland	Org	503
N V OZ zorgverzekerningen	Org	504
Brabant Medical School	Org	505
ZonMw	Org	506
N A C  NOAD Advendo Combinatie  Breda	Org	507
CZ Zorgverzekeringen	Org	508
KLM Pensioenfondsen	Org	509
Stichting Overkoepelend COZ beheer	Org	510
Vrijzinnig Protestants Verbond	Org	511
N A C  N O A D Advendo Combinatie te Breda	Org	512
Politiek Jongeren Contact Breda	Org	513
Gemeente Bodegraven	Org	514
Burgemeester van Andel N Br	Org	515
Burgemeester van Giessen N Br	Org	516
Burgemeester van Rijswijk N Br	Org	517
Centraal Comité van ARP kiesverenigingen	Org	518
ARP Kamerkring s Hertogenbosch	Org	519
ARP kiesvereniging Heusden	Org	520
ARP Statenkring Heusden	Org	521
ARP Kamerkring Noord Brabant	Org	522
NSSF Nederlandse Staatkundige Studenten Federatie	Org	523
Stichting Het Streekorgaan in het Land van Heusden en Altena	Org	524
Stichting De Wijde Alm  oprichting en exploitatie zwembad	Org	525
Vereniging voor Christelijk Nationaal Schoolonderwijs	Org	526
Streekgewestraad Land van Heusden en Altena	Org	527
Nederlandse delegatie naar de algemene vergadering van de Verenigde Naties	Org	528
DAFN Defence and Aid Fund Nederland	Org	529
Protestantse Stichting voor Bejaardenzorg te Andel	Org	530
Raadgevende vergadering van de Raad van Europa en West Europese Unie	Org	531
NOVIB Nederlandse Organisatie voor Internationale Bijstand	Org	532
VVN Vereniging Vluchtelingenwerk Nederland	Org	533
VOG Vereniging van ondernemingen in de gepremieerde en gesubsidiëerde sector	Org	534
Stichting Refugiado	Org	535
African European Institute	Org	536
AWEPA Association of European Parlamentarians for Africa	Org	537
Studentencorps Vrije Universiteit	Org	538
Gemeente Enschede	Org	539
Burgemeester	Org	540
Gemeenteraad van Ouder Amstel	Org	541
Beleid en Advies VARA Vereniging van Arbeiders Radio Amateurs	Org	542
Nederlandse delegatie naar de CVSE Assemblée in Helsinki	Org	543
Nederlandse delegatie naar de CVSE Assemblée in Wenen	Org	544
Regionaal college	Org	545
Woningbouwvereniging Ouder Amstel	Org	546
Woningstichting Ouder Amstel	Org	547
Commissie van Toezicht politiecellen	Org	548
Nederlands Nationaal Comité Europa 2000	Org	549
Europees comité ter voorkoming van martelingen	Org	550
FOM Fundamenteel Onderzoek der Materie 	Org	551
MIT Massachusetts Institute of Technology te Cambridge	Org	552
RIT Royal Institute of Technology te Stockholm Zweden	Org	553
Commissaris van de Koningin in Gelderland	Org	554
Stichting Trustee Achmea Hypotheekbank	Org	555
Aquanet	Org	556
PeGo Platform energietransitie Gebouwde Omgeving	Org	557
Stichting WIKOR	Org	558
Toneelgroep De Appel	Org	559
Internationale School voor Wijsbegeerte	Org	560
Twente Computerland	Org	561
Raad voor Verkeer en Waterstaat	Org	562
Raad voor de Verkeer en Waterstaat	Org	563
Stichting Lezen	Org	564
SVn Stimuleringsfonds Volkshuisvesting Nederlandse Gemeenten	Org	565
N V  Enertel	Org	566
Centraal  InnovatieCentra Netwerk	Org	567
Koninklijke Schuttevaer	Org	568
Nedcon Groep te Doetinchem	Org	569
NOvAA Nederlandse Orde van Administratie Accountants	Org	570
Raad van Comissarissen Gelredome te Arnhem	Org	571
Nederlandse Leprastichting	Org	572
Anne Vondelingprijs 1998	Org	573
Wibautleerstoel 	Org	574
Stichting Syntens 	Org	575
Gezondheidheidsraad	Org	576
Universiteit van Tilburg	Org	577
Nationaal Platform Zalmherstel	Org	578
Actiz	Org	579
Universiteiten Utrecht en Maastricht over de foute fysicus Debye	Org	580
Commissie AedesCode	Org	581
Groninger Forum	Org	582
Stichting Varkens in nood	Org	583
Gemeenteraad van Delft	Org	584
en Nederlandse Economische Hogeschool te Rotterdam	Org	585
VNG Vereniging van Nederlandse Gemeenten	Org	586
Royal Haskoning DHV	Org	587
CAOP Centrum Arbeidsverhoudingen Overheidspersoneel	Org	588
N V Eneco	Org	589
NMI Nederlands Muziek Instituut te s Gravenhage	Org	590
Europees Hof voor de Rechten van de Mens	Org	591
Adviesraad Defensieaangelegenheden	Org	592
Volk en Verdediging	Org	593
NIVV Nederlands Instituut voor Vredesvraagstukken	Org	594
Humanistisch Verbond	Org	595
Reynier de Graafziekenhuis te Delft	Org	596
Brinkman ontslagprocedure korpschef Rotterdam Rijnmond	Org	597
Bank voor Nederlandsche Gemeenten	Org	598
ODRP b v	Org	599
Gemeentelijk Havenbedrijf Rotterdam als port	Org	600
