Source	Target	date_in	date_out	rubriek
15531	15423	2007-02-22	2007-12-17	-9
15533	15423	1998-05-19	1998-11-16	-9
15541	15423	1998-05-19	2002-05-22	-9
15541	15423	2002-05-23	2003-01-29	-9
15541	15423	2003-01-30	2003-05-20	-9
15542	15423	1998-05-19	2002-05-22	-9
15542	15423	2002-05-23	2002-07-21	-9
15542	15423	2003-01-30	2003-05-26	-9
15542	15423	2006-07-07	2007-02-21	-9
15542	15423	2002-07-22	2003-05-26	-9
15542	15423	2003-05-27	2006-07-06	-9
15547	15423	1998-05-19	2002-05-22	-9
15550	15423	1998-05-19	2002-05-22	-9
15550	15423	2002-05-23	2003-01-29	-9
15550	15423	2003-01-30	2006-11-29	-9
15550	15423	2006-11-30	2007-02-21	-9
15550	15423	2010-06-17	2011-06-29	-9
15550	15423	2007-02-22	2010-02-22	-9
15550	15423	2010-02-23	2010-10-13	-9
15552	15423	1998-05-19	2002-05-22	-9
15553	15423	1998-05-19	2002-05-22	-9
15553	15423	2002-05-23	2002-07-21	-9
15553	15423	2003-01-30	2003-05-26	-9
15553	15423	2006-11-30	2007-02-21	-9
15553	15423	2006-07-07	2007-02-21	-9
15553	15423	2002-07-22	2003-05-26	-9
15553	15423	2003-05-27	2006-07-06	-9
15557	15423	1998-05-19	2002-05-22	-9
15557	15423	2002-05-23	2003-01-29	-9
15557	15423	2003-01-30	2006-11-29	-9
15557	15423	2006-11-30	2010-06-16	-9
15563	15423	1998-11-24	2002-05-22	-9
15563	15423	2002-05-23	2003-01-29	-9
15563	15423	2003-01-30	2006-11-29	-9
15564	15423	1999-06-08	2003-06-09	-9
15564	15423	2003-06-10	2007-06-11	-9
15564	15423	2007-06-12	2011-06-06	-9
15566	15423	1999-06-08	2003-06-09	-9
15566	15423	2003-06-10	2007-06-11	-9
15566	15423	2007-06-12	2011-06-06	-9
15568	15423	1999-06-08	2003-06-09	-9
15569	15423	1999-06-08	2000-07-14	-9
15572	15423	1999-06-08	2003-06-09	-9
15572	15423	2003-06-10	2007-06-11	-9
15573	15423	1999-06-08	2003-06-09	-9
15575	15423	1999-06-08	2003-06-09	-9
15575	15423	2003-06-10	2007-06-11	-9
15582	15423	2007-06-12	2009-10-31	-9
15582	15423	1999-06-08	2003-06-09	-9
15582	15423	2003-06-10	2007-06-11	-9
15584	15423	1999-06-08	2003-06-09	-9
15584	15423	2003-06-10	2006-12-31	-9
15594	15423	2000-09-05	2003-06-09	-9
15594	15423	2003-06-10	2007-06-11	-9
